"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 0.870967741935484 0.0864920744314266 0.101325202298581 0.0909090909090909 0.192926045016077 0.423529411764706 0.7 0 0.240369554766757
"2" 0.927741935483871 0.118194348725017 0.775419256479418 0.119429590017825 0.508038585209003 0.211764705882353 0.0555555555555556 0 0.310045267960531
"3" 0.927741935483871 0.146795313576844 0.796294124545561 0.119429590017825 0.398713826366559 0.211764705882353 0.1 0 0.343683487036157
"4" 0.941935483870968 0.110957960027567 0.0816230796294124 0.160427807486631 0.196141479099678 0.964705882352941 0.4 0.03125 0.326860749526128
"5" 0.910967741935484 0.172984148862853 0.110589890934678 0.171122994652406 0.295819935691318 0.988235294117647 0.155555555555556 0 0.285825401980455
"6" 0.949677419354839 0.290144727773949 0.56303506508737 0.262032085561497 0.643086816720257 0.164705882352941 0.555555555555556 0 0.413244581590509
"7" 0.949677419354839 0.302549965541006 0.571947930104374 0.151515151515152 0.704180064308682 0.141176470588235 0.3 0 0.48476366528683
"8" 0.939354838709677 0.49724328049621 0.703999061803682 0.190730837789661 0.186495176848875 0.835294117647059 0.2 0 0.384335495145641
"9" 0.932903225806452 0.442453480358374 0.802978773308315 0.124777183600713 0.35048231511254 0.564705882352941 0.555555555555556 0 0.528326676800899
"10" 0.952258064516129 0.299448656099242 0.810015245690161 0.126559714795009 0.662379421221865 0.294117647058824 0.4 0 0.425745962508052
"11" 0.952258064516129 0.299448656099242 0.810015245690161 0.126559714795009 0.501607717041801 0.423529411764706 0.755555555555556 0 0.438286365752308
"12" 0.956129032258064 0.248449345279118 0.826902779406591 0.402852049910873 0.54983922829582 0.270588235294118 0.4 0 0.426930649575994
"13" 0.578064516129032 0.240179186767746 0.770962823970916 0.0142602495543672 0.47588424437299 0.670588235294118 0.7 0 0.356282222217917
"14" 0.931612903225806 0.432115782219159 0.795825026386771 0.124777183600713 0.614147909967846 0.317647058823529 0.2 0 0.485167927655324
"15" 0.95741935483871 0.455547898001378 0.811187991087135 0.163992869875223 0.778135048231511 0.0705882352941176 0.455555555555555 0 0.78351966619189
"16" 0.96258064516129 0.482770503101309 0.827958250263868 0.24777183600713 0.665594855305466 0.341176470588235 0.555555555555556 0 0.565572043663653
"17" 0.941935483870968 0.119572708476912 0.0854931394394277 0.13903743315508 0.414790996784566 0.141176470588235 0.555555555555556 0 0.343511390440544
"18" 0.854193548387097 0.109235010337698 0.769672804034244 0.053475935828877 0.466237942122186 0.376470588235294 0.5 0 0.368306419841465
"19" 0.909677419354839 0.0923501033769814 0.0737656854696845 0.112299465240642 0.440514469453376 0.235294117647059 0.4 0 0.287272414927687
"20" 0.872258064516129 0.0906271536871123 0.104608889410109 0.0909090909090909 0.228295819935691 0.341176470588235 0.455555555555555 0 0.236604872208613
"21" 0.932903225806452 0.442453480358374 0.802978773308315 0.124777183600713 0.517684887459807 0.294117647058824 0.255555555555556 0 0.491431355220462
"22" 0.943225806451613 0.26671261199173 0.840154802392401 0.163992869875223 0.543408360128617 0.270588235294118 0.255555555555556 0 0.390819888947014
"23" 0.975483870967742 0.328049620951068 0.225284390758766 1 0.604501607717042 0.341176470588235 0.455555555555555 0 0.405848889010198
"24" 0.92258064516129 0.378359751895245 0.620968687697901 0.110516934046346 0.556270096463023 0.329411764705882 0.6 0 0.353041277109512
"25" 0.965161290322581 0.476567884217781 0.687580626246042 0.361853832442068 0.691318327974277 0.2 0.6 0 0.559400067988176
"26" 0.938064516129032 0.486905582356995 0.696024393104257 0.188948306595365 0.453376205787781 0.529411764705882 0.555555555555556 0 0.421637082662901
"27" 0.950967741935484 0.402481047553412 0.774129236542747 0.2174688057041 0.540192926045016 0.223529411764706 0.6 0 0.517078281120641
"28" 0.931612903225806 0.432115782219159 0.795825026386771 0.124777183600713 0.553054662379421 0.388235294117647 0.1 0 0.459600272906018
"29" 0.963870967741935 0.49724328049621 0.836753840741175 0.144385026737968 0.90032154340836 0.105882352941176 0.255555555555556 0 0.946492863066226
"30" 0.965161290322581 0.510682288077188 0.84519760759939 0.144385026737968 0.662379421221865 0.282352941176471 0.355555555555556 0 0.539400450421265
"31" 0.975483870967742 0.289455547898001 0.802626949689222 0.283422459893048 0.745980707395498 0.105882352941176 0.355555555555556 0 0.60954232676186
"32" 0.901935483870968 0.312543073742247 0.82326726867597 0.126559714795009 0.289389067524116 0.741176470588235 0.8 0 0.406541267826982
"33" 0.901935483870968 0.236388697450034 0.81963175794535 0.103386809269162 0.591639871382637 0.258823529411765 0.155555555555556 0 0.359433381856968
"34" 0.941935483870968 0.256719503790489 0.833118330010555 0.13903743315508 0.498392282958199 0.282352941176471 0.355555555555556 0 0.401240999209697
"35" 0.943225806451613 0.26671261199173 0.840154802392401 0.163992869875223 0.610932475884244 0.2 0.255555555555556 0 0.390819888947014
"36" 0.923870967741935 0.274293590627154 0.847074000234549 0.112299465240642 0.514469453376206 0.552941176470588 0.455555555555555 0 0.412028621915182
"37" 0.927741935483871 0.118194348725017 0.775419256479418 0.119429590017825 0.627009646302251 0.105882352941176 0.455555555555555 0 0.391830860382012
